scan_date,city_id,city,listing_id,listing_desc,url,review_count,by,price_from,strike_thru_price,is_special_offer
2018-07-29,g303272,Salvador,d11485037,"Just a few miles outside Abrantes lies one of Bahia’s quietest beaches, Jaua Beach. During this day tour away from the big city, head out on a guided hike along the beach to Whale Rock at low tide as your local... ",https://www.tripadvisor.com/AttractionProductDetail-g303272-d11485037-Jaua_Beach_Hike_Tour_from_Abrantes-Salvador_State_of_Bahia.html,0,Bahia Vacations Private Tours,22.5,0, 
2018-07-29,g303272,Salvador,d11485038,"Just off the coast of Abrantes outside Salvador, the Atlantic waters are home to tuna, barracuda, dolphin fish, and several other species. Beginners and experienced anglers alike can aim for that big catch with this... ",https://www.tripadvisor.com/AttractionProductDetail-g303272-d11485038-Private_Deep_Sea_Fishing_Tour_from_Abrantes-Salvador_State_of_Bahia.html,0,Bahia Vacations Private Tours,741.5,0, 
2018-07-29,g303272,Salvador,NA,NA,https://www.tripadvisor.com,0,Your Tour Brazil,98.0,0, 
2018-07-29,g303272,Salvador,NA,NA,https://www.tripadvisor.com,0,Your Tour Brazil,148.0,0, 
2018-07-29,g303272,Salvador,d11480830,"The Bahia coast of Brazil is famous for its beaches. This full-day tour from Salvador da Bahia includes plenty of beach time plus a glimpse of coastal culture and cuisine. Enjoy beach walks, swim in the ocean, and... ",https://www.tripadvisor.com/AttractionProductDetail-g303272-d11480830-Full_Day_Beach_Hopping_Tour_from_Salvador_da_Bahia_Brazil-Salvador_State_of_Bahia.html,0,Bahia Vacations Private Tours,153.0,0, 
2018-07-29,g303272,Salvador,NA,NA,https://www.tripadvisor.com,0,Your Tour Brazil,140.0,0, 
2018-07-29,g303272,Salvador,d11462469,"Get a sense of country life in Cachoeira during this 10-hour educational tour from Salvador. Explore the UNESCO World Heritage-listed city's architecture, which reflects Portuguese colonialism and African heritage.... ",https://www.tripadvisor.com/AttractionProductDetail-g303272-d11462469-Cachoeira_Countryside_Flavor_Private_Tour_from_Salvador-Salvador_State_of_Bahia.html,1,Your Tour Brazil,166.0,0, 
2018-07-29,g303272,Salvador,NA,NA,https://www.tripadvisor.com,0,Galeao Sacramento,100.0,0, 
2018-07-29,g303272,Salvador,d12566115,"Cruise ships calling on Salvador de Bahia dock at a terminal located right downtown. With this tour designed especially for cruise ship passengers, make the most of your limited time in port with a compact tour that... ",https://www.tripadvisor.com/AttractionProductDetail-g303272-d12566115-Cruise_Ship_Special_Private_Tour_Salvador_da_Bahia_Historic_Old_Town_Bonfim_and_Barra-Salvador_State_of_Bahia.html,1,Bahia Vacations Private Tours,129.3,0, 
2018-07-29,g303272,Salvador,d11462470,"Explore Praia de Guarajuba and Praia do Forte with a private guide during this 8-hour tour from Salvador. Visit the gorgeous Praia do Forte, natural pools, a charming fishing village by the sea and a turtle... ",https://www.tripadvisor.com/AttractionProductDetail-g303272-d11462470-Private_Tour_to_Praia_do_Forte_and_Praia_de_Guarajuba_from_Salvador-Salvador_State_of_Bahia.html,1,Your Tour Brazil,108.0,0, 
2018-07-29,g303272,Salvador,NA,NA,https://www.tripadvisor.com,1,Galeao Sacramento,60.0,0, 
2018-07-29,g303576,Florianopolis,d14061663,"Explore the Brazilian conservation project of TAMAR with this full admission ticket. Learn about the various species they protect, most notably the giant sea turtles of the area, and what the organization does for... ",https://www.tripadvisor.com/AttractionProductDetail-g303576-d14061663-Tamar_Project_Admission_Ticket-Florianopolis_State_of_Santa_Catarina.html,0,Projeto Tamar Florianopolis,4.5,0, 
2018-07-29,g303576,Florianopolis,d11475818,"Get a comprehensive tour of Florianópolis during this 8-hour excursion. Visit some of the island's more than 40 scenic beaches, as well as its historic downtown landmarks. Pickup and drop-off at most Florianópolis... ",https://www.tripadvisor.com/AttractionProductDetail-g303576-d11475818-Florianopolis_Full_Day_City_Tour-Florianopolis_State_of_Santa_Catarina.html,1,Gray Line Tours,29.0,0, 
2018-07-29,g303576,Florianopolis,d14105554,"Come visit us and check out our structure that grows every year since 2001. The Water Show Park water park has 10 adult and children's pools, 30 water slides and water ramps in 16 moderate and radical family... ",https://www.tripadvisor.com/AttractionProductDetail-g303576-d14105554-Agua_Show_Park_Admission_Ticket-Florianopolis_State_of_Santa_Catarina.html,0,Agua Show Park,16.0,0, 
2018-07-29,g303576,Florianopolis,d11462187,"Explore the beaches of southern Florianópolis during this day trip with a local guide. Experience the calm azure seas, the golden sand and the tropical flora on some of the island's most beautiful beaches. Hit... ",https://www.tripadvisor.com/AttractionProductDetail-g303576-d11462187-Tour_to_the_South_Beaches_of_Florianopolis-Florianopolis_State_of_Santa_Catarina.html,0,Kon Aventuras,50.0,0, 
2018-07-29,g303576,Florianopolis,d11460434,Ride a bike to the beautiful beaches of southern Florianópolis on this 5-hour cycling tour. Access the nature trails that lead to the most remote beaches that many visitors don't get to see. Follow your expert... ,https://www.tripadvisor.com/AttractionProductDetail-g303576-d11460434-Southern_Beaches_of_Florianopolis_Bike_Tour-Florianopolis_State_of_Santa_Catarina.html,1,Floripa Bike Tour,50.0,0, 
2018-07-29,g303576,Florianopolis,d11459957,"Hike to Lagoinha do Leste Beach during this 7-hour tour from Florianópolis. Follow your guide to this remote beach, accessible only by walking trails, surrounded by the sounds of bird singing, cicadas humming and... ",https://www.tripadvisor.com/AttractionProductDetail-g303576-d11459957-Trail_of_Lagoinha_do_Leste-Florianopolis_State_of_Santa_Catarina.html,1,Kon Aventuras,75.0,0, 
2018-07-29,g303576,Florianopolis,d13137239,Spend the day on a secluded island off the coast of Brazil on this full-day tour to Campeche Island. This protected natural reserve is a 30-minute boat ride from Florianopolis and only allows a certain amount of... ,https://www.tripadvisor.com/AttractionProductDetail-g303576-d13137239-Ilha_do_Campeche_Day_Tour-Florianopolis_State_of_Santa_Catarina.html,1,Brazo Tours,100.0,0, 
2018-07-29,g303576,Florianopolis,d11460435,Explore the northern side of Florianópolis on a bike during this 6-hour cycling tour. Follow your expert cycling guide down the narrow city paths that lead to impressive sand dunes and expanses of coastal... ,https://www.tripadvisor.com/AttractionProductDetail-g303576-d11460435-North_Florianopolis_Bike_Tour_Mozambique_Santinho_and_Ingleses_Beaches-Florianopolis_State_of_Santa_Catarina.html,0,Floripa Bike Tour,50.0,0, 
2018-07-29,g303576,Florianopolis,d12650412,"Hike through the lush rainforests of Florianopolis, beginning at Praia Brava, and enjoy panoramic views of Jurere, Canasvieiras, Ingleses, and many more beaches, from the top of the mountain. Discover the local... ",https://www.tripadvisor.com/AttractionProductDetail-g303576-d12650412-Tracking_with_360_Degrees_Views_from_Florianopolis-Florianopolis_State_of_Santa_Catarina.html,0,Brazo Tours,34.0,0, 
2018-07-29,g303576,Florianopolis,d12566962,"Take a guided horseback riding tour along one of Florianopolis’ beautiful beaches. This 3-hour scenic ride passes through lush rainforest, pristine beaches, and sand dunes as you make your way down the beach at a... ",https://www.tripadvisor.com/AttractionProductDetail-g303576-d12566962-Riding_on_the_Beach-Florianopolis_State_of_Santa_Catarina.html,0,Brazo Tours,50.0,0, 
2018-07-29,g303576,Florianopolis,d11462188,"Explore the beaches of northern Florianópolis during this day trip with a local guide. Experience the calm azure seas, the golden sand and the tropical flora on some of the island's most beautiful beaches. Hit... ",https://www.tripadvisor.com/AttractionProductDetail-g303576-d11462188-Day_Trip_to_the_Northern_Beaches_of_Florianopolis-Florianopolis_State_of_Santa_Catarina.html,0,Kon Aventuras,50.0,0, 
2018-07-29,g303322,Brasilia,d11915677,"Get a comprehensive whirlwind tour of Rio's downtown in just three hours. With your guide, learn about the city's culture and history through visits to landmarks such as the The São Bento Monastery, the... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11915677-Rio_de_Janeiro_Downtown_Tour-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,1,Carioca Tropical Tour Operator - Day Tours,44.99,0, 
2018-07-29,g303322,Brasilia,d12719786,"Explore the beautiful city of João Pessoa on this full-day city walking tour. Visit the city’s highlights such as the craft market, the Science Station built by the famous Oscar Niemeyer, the easternmost point of... ",https://www.tripadvisor.com/AttractionProductDetail-g303428-d12719786-Joao_Pessoa_Walking_Tour-Joao_Pessoa_State_of_Paraiba.html,0,Luck Receptivo Maceio,12.0,0, 
2018-07-29,g303374,Belo Horizonte,d12561953,"Explore the Serra do Cipó National Park, part of the Espinhaço Range's UNESCO Biosphere Reserve, on this full-day trekking tour from Belo Horizonte. Follow a guide through the park and listen to commentary on the... ",https://www.tripadvisor.com/AttractionProductDetail-g303374-d12561953-National_Park_Serra_do_Cipo_Trekking_Tour_from_Belo_Horizonte-Belo_Horizonte_State_of_Minas_Gerais.html,0,Kopa Turismo,0.0,0, 
2018-07-29,g303374,Belo Horizonte,d11471509,"Enhance your sightseeing experience of Belo Horizonte on a 5-hour tour of the Pamphula district, home to many of the city’s cultural and natural highlights. Alongside a professional guide, visit arresting landmarks... ",https://www.tripadvisor.com/AttractionProductDetail-g303374-d11471509-Belo_Horizonte_City_Tour_in_Pampulha-Belo_Horizonte_State_of_Minas_Gerais.html,1,Rio Carioca Tours,0.0,0, 
2018-07-29,g303374,Belo Horizonte,d11473174,"Explore the city of Belo Horizonte on a 5-hour private tour by car. Discover the city’s main attractions such as the church of São Francisco, the Oscar Niemeyer complex, Pope Plaza, and the Liberty Palace as you... ",https://www.tripadvisor.com/AttractionProductDetail-g303374-d11473174-Private_Tour_Discover_Belo_Horizonte_City-Belo_Horizonte_State_of_Minas_Gerais.html,2,Kopa Turismo,0.0,0, 
2018-07-29,g304560,Recife,d12218277,"Visit the southern shores of Pernambuco on this day trip from Recife to Porto de Galinhas, famous for its natural pools. On arrival, it’s just a 10-minute boat ride to the pools where you can use provided snorkel... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218277-Day_Trip_to_Porto_de_Galinhas_from_Recife-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,87.5,0, 
2018-07-29,g304560,Recife,d12955220,"Spend some time on the Jaboatão River in Recife with your very own stand-up paddle. Learn to SUP during a 3-hour excursion and paddle down the calm river. Spend time with family and friends, soak up the sunshine,... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12955220-Stand_up_Paddle_in_Jaboatao_River_from_Recife-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,75.0,0, 
2018-07-29,g304560,Recife,d12218280,"Explore Olinda, a UNESCO World Heritage-listed city known as the 'Venice of Brazil', on a 5-hour guided tour from Recife. With your knowledgeable local guide, see the highlights and landmarks of the city, including... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218280-City_Tour_of_Olinda_Including_Instituto_Ricardo_Brennand-Recife_State_of_Pernambuco.html,4,Uluwatour Viagens & Receptivos,75.0,0, 
2018-07-29,g304560,Recife,d12218281,Enjoy a hassle-free arrival in northeastern Brazil with this private transfer service. Meet your professional driver at Recife/Guararapes–Gilberto Freyre International Airport and relax on the journey to your hotel... ,https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218281-Arrival_Transfer_from_Recife_Airport_to_Olinda-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,37.5,0, 
2018-07-29,g304560,Recife,d12218274,"Enjoy a hassle-free arrival in northeastern Brazil with this shared transfer service from the Recife airport to your hotel in Boa Viagem, Pina or Piedade. Meet your professional driver at Recife/Guararapes–Gilberto... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218274-Arrival_Transfer_from_Recife_Airport_to_Boa_Viagem_Pina_or_Piedade-Recife_State_of_Pernambuco.html,1,Uluwatour Viagens & Receptivos,18.75,0, 
2018-07-29,g304560,Recife,d12218275,"Book a shared departure transfer from your hotel in Boa Viagem, Pina and Piedade to the Recife airport for a hassle-free end to your vacation. Skip the stress of hiring a taxi or waiting for public transportation.... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218275-Departure_Transfer_from_Boa_Viagem_Pina_or_Piedade_to_Recife_Airport-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,10.0,0, 
2018-07-29,g304560,Recife,d14166902,"Take the stress and uncertainty out of getting to your hotel and take the easy way! Enjoy the best transfer from the International Airport of Recife to all hotels on the Harbor of Porto de Galinhas, Muro Alto... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d14166902-Arrival_Transfer_from_Recife_Airport_to_Porto_de_Galinhas_Muro_Alto_or_Serrambi-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,50.0,0, 
2018-07-29,g304560,Recife,d12218288,"Eat a traditional Brazilian meal and explore historic Olinda during a 5-hour evening tour from Recife. Visit the historic part of Olinda, which includes twenty Baroque churches, convents and chapels between its... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218288-Olinda_Evening_and_Culinary_Tour_from_Recife-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,100.0,0, 
2018-07-29,g304560,Recife,d12218284,"Tour Recife onboard a boat on the Capabaribe River during this 3-hour excursion. With a knowledgeable local guide and captain at the helm, visit the 3 central islands of Recife; Boa Vista, Recife Antigo and Santo... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218284-Recife_Boat_Tour-Recife_State_of_Pernambuco.html,1,Uluwatour Viagens & Receptivos,50.0,0, 
2018-07-29,g304560,Recife,d14174195,"Our tour  will take you along the best views in the city and stops for the best souvenirs and handcrafts of the region.  Casa da Cultura, Central de Artesanato na Praça do Marco Zero and last stop in... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d14174195-Shopping_Tour_in_Recife-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,62.5,0, 
2018-07-29,g304560,Recife,d12218289,"Sink your toes into the sand of 4 different spectacular beaches in Pernambuco during this 6-hour tour from Recife. With your local guide, stop at 2 viewpoints along your journey for photo ops and views over the... ",https://www.tripadvisor.com/AttractionProductDetail-g304560-d12218289-Tour_of_4_Beaches_in_Cabo_de_Santo_Agostinho_from_Recife-Recife_State_of_Pernambuco.html,0,Uluwatour Viagens & Receptivos,50.0,0, 
